name,rating,url
Honeywell,4.0,https://www.glassdoor.com/Reviews/Honeywell-Reviews-E28.htm
Panera Bread,3.4,https://www.glassdoor.com/Reviews/Panera-Bread-Reviews-E1493.htm
Spectrum,3.3,https://www.glassdoor.com/Reviews/Spectrum-Reviews-E1500006.htm
Marriott International,4.0,https://www.glassdoor.com/Reviews/Marriott-International-Reviews-E7790.htm
Walt Disney Company,3.9,https://www.glassdoor.com/Reviews/Walt-Disney-Company-Reviews-E717.htm
Subway,3.4,https://www.glassdoor.com/Reviews/Subway-Reviews-E2994.htm
Northrop Grumman,4.0,https://www.glassdoor.com/Reviews/Northrop-Grumman-Reviews-E488.htm
GE,4.0,https://www.glassdoor.com/Reviews/GE-Reviews-E277.htm
FedEx Ground,3.4,https://www.glassdoor.com/Reviews/FedEx-Ground-Reviews-E16846.htm
Costco Wholesale,3.9,https://www.glassdoor.com/Reviews/Costco-Wholesale-Reviews-E2590.htm
Chick-fil-A,4.0,https://www.glassdoor.com/Reviews/Chick-fil-A-Reviews-E5873.htm
US Marine Corps,3.9,https://www.glassdoor.com/Reviews/US-Marine-Corps-Reviews-E41423.htm
American Express,4.2,https://www.glassdoor.com/Reviews/American-Express-Reviews-E35.htm
Tech Mahindra,3.6,https://www.glassdoor.com/Reviews/Tech-Mahindra-Reviews-E135932.htm
DXC Technology,3.6,https://www.glassdoor.com/Reviews/DXC-Technology-Reviews-E1603125.htm
Hewlett Packard Enterprise | HPE,4.2,https://www.glassdoor.com/Reviews/Hewlett-Packard-Enterprise-HPE-Reviews-E1093046.htm
General Motors (GM),4.0,https://www.glassdoor.com/Reviews/General-Motors-GM-Reviews-E279.htm
Sears,3.4,https://www.glassdoor.com/Reviews/Sears-Reviews-E37984.htm
Domino's,3.5,https://www.glassdoor.com/Reviews/Domino-s-Reviews-E2770.htm
CGI,3.9,https://www.glassdoor.com/Reviews/CGI-Reviews-E8452.htm
NIKE,4.2,https://www.glassdoor.com/Reviews/NIKE-Reviews-E1699.htm
Staples,3.4,https://www.glassdoor.com/Reviews/Staples-Reviews-E1909.htm
Johnson & Johnson,4.2,https://www.glassdoor.com/Reviews/Johnson-and-Johnson-Reviews-E364.htm
Old Navy,3.6,https://www.glassdoor.com/Reviews/Old-Navy-Reviews-E18861.htm
Dollar General,2.7,https://www.glassdoor.com/Reviews/Dollar-General-Reviews-E1342.htm
Siemens,4.1,https://www.glassdoor.com/Reviews/Siemens-Reviews-E3510.htm
GEICO,2.9,https://www.glassdoor.com/Reviews/GEICO-Reviews-E270.htm
PNC Financial Services Group,3.6,https://www.glassdoor.com/Reviews/PNC-Financial-Services-Group-Reviews-E507.htm
Burger King,3.5,https://www.glassdoor.com/Reviews/Burger-King-Reviews-E7201.htm
Robert Half,3.8,https://www.glassdoor.com/Reviews/Robert-Half-Reviews-E1838.htm
Bloomberg L.P.,4.1,https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm
Booz Allen Hamilton,4.2,https://www.glassdoor.com/Reviews/Booz-Allen-Hamilton-Reviews-E2735.htm
J. C. Penney,3.4,https://www.glassdoor.com/Reviews/J-C-Penney-Reviews-E361.htm
McKinsey & Company,4.3,https://www.glassdoor.com/Reviews/McKinsey-and-Company-Reviews-E2893.htm
Liberty Mutual Insurance,3.8,https://www.glassdoor.com/Reviews/Liberty-Mutual-Insurance-Reviews-E2874.htm
Tesla,3.6,https://www.glassdoor.com/Reviews/Tesla-Reviews-E43129.htm
HSBC,3.8,https://www.glassdoor.com/Reviews/HSBC-Reviews-E3482.htm
U.S. Bank,3.7,https://www.glassdoor.com/Reviews/U-S-Bank-Reviews-E8937.htm
Cerner,3.6,https://www.glassdoor.com/Reviews/Cerner-Reviews-E1242.htm
UBS,3.9,https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm
Barclays,4.0,https://www.glassdoor.com/Reviews/Barclays-Reviews-E3456.htm
NVIDIA,4.6,https://www.glassdoor.com/Reviews/NVIDIA-Reviews-E7633.htm
ALDI,3.5,https://www.glassdoor.com/Reviews/ALDI-Reviews-E7337.htm
Ulta Beauty,3.5,https://www.glassdoor.com/Reviews/Ulta-Beauty-Reviews-E9466.htm
Insight Global,3.8,https://www.glassdoor.com/Reviews/Insight-Global-Reviews-E152783.htm
TD,3.9,https://www.glassdoor.com/Reviews/TD-Reviews-E3767.htm
Thomson Reuters,3.7,https://www.glassdoor.com/Reviews/Thomson-Reuters-Reviews-E100303.htm
Procter & Gamble,4.1,https://www.glassdoor.com/Reviews/Procter-and-Gamble-Reviews-E544.htm
ABC,4.0,https://www.glassdoor.com/Reviews/ABC-Reviews-E130.htm
Ford Motor Company,4.0,https://www.glassdoor.com/Reviews/Ford-Motor-Company-Reviews-E263.htm
Victoria's Secret,3.5,https://www.glassdoor.com/Reviews/Victoria-s-Secret-Reviews-E13903.htm
Sam's Club,3.3,https://www.glassdoor.com/Reviews/Sam-s-Club-Reviews-E7811.htm
VMware,4.3,https://www.glassdoor.com/Reviews/VMware-Reviews-E12830.htm
H E B,4.2,https://www.glassdoor.com/Reviews/H-E-B-Reviews-E2824.htm
Allstate,3.4,https://www.glassdoor.com/Reviews/Allstate-Reviews-E2341.htm
Kforce,4.0,https://www.glassdoor.com/Reviews/Kforce-Reviews-E5441.htm
Epic,3.4,https://www.glassdoor.com/Reviews/Epic-Reviews-E35163.htm
H&M,3.6,https://www.glassdoor.com/Reviews/H-and-M-Reviews-E11918.htm
Allied Universal,3.1,https://www.glassdoor.com/Reviews/Allied-Universal-Reviews-E1352584.htm
US Department of Veterans Affairs,3.7,https://www.glassdoor.com/Reviews/US-Department-of-Veterans-Affairs-Reviews-E41429.htm
Taco Bell,3.4,https://www.glassdoor.com/Reviews/Taco-Bell-Reviews-E10091.htm
Concentrix,4.1,https://www.glassdoor.com/Reviews/Concentrix-Reviews-E31549.htm
Raytheon Technologies,3.8,https://www.glassdoor.com/Reviews/Raytheon-Technologies-Reviews-E561.htm
Aramark,3.3,https://www.glassdoor.com/Reviews/Aramark-Reviews-E2716.htm
Pizza Hut,3.5,https://www.glassdoor.com/Reviews/Pizza-Hut-Reviews-E10090.htm
Intuit,4.5,https://www.glassdoor.com/Reviews/Intuit-Reviews-E2293.htm
Freelancer,4.2,https://www.glassdoor.com/Reviews/Freelancer-Reviews-E392261.htm
Northwestern Mutual,4.0,https://www.glassdoor.com/Reviews/Northwestern-Mutual-Reviews-E2919.htm
Chase,3.8,https://www.glassdoor.com/Reviews/Chase-Reviews-E690765.htm
Labcorp,3.7,https://www.glassdoor.com/Reviews/Labcorp-Reviews-E1679.htm
DICK'S Sporting Goods,3.8,https://www.glassdoor.com/Reviews/DICK-S-Sporting-Goods-Reviews-E8666.htm
CBRE,4.0,https://www.glassdoor.com/Reviews/CBRE-Reviews-E465818.htm
Thermo Fisher Scientific,3.7,https://www.glassdoor.com/Reviews/Thermo-Fisher-Scientific-Reviews-E658.htm
Ross Stores,3.2,https://www.glassdoor.com/Reviews/Ross-Stores-Reviews-E1843.htm
FedEx,3.7,https://www.glassdoor.com/Reviews/FedEx-Reviews-E246.htm
American Airlines,3.8,https://www.glassdoor.com/Reviews/American-Airlines-Reviews-E8.htm
Medtronic,3.9,https://www.glassdoor.com/Reviews/Medtronic-Reviews-E436.htm
J.P. Morgan,4.0,https://www.glassdoor.com/Reviews/J-P-Morgan-Reviews-E145.htm
Optum,3.7,https://www.glassdoor.com/Reviews/Optum-Reviews-E2409113.htm
Hilton,4.0,https://www.glassdoor.com/Reviews/Hilton-Reviews-E330.htm
BNY Mellon,3.6,https://www.glassdoor.com/Reviews/BNY-Mellon-Reviews-E78.htm
Wendy's,3.4,https://www.glassdoor.com/Reviews/Wendy-s-Reviews-E728.htm
Philips,3.6,https://www.glassdoor.com/Reviews/Philips-Reviews-E3496.htm
Progressive Insurance,3.8,https://www.glassdoor.com/Reviews/Progressive-Insurance-Reviews-E546.htm
Dunkin',3.2,https://www.glassdoor.com/Reviews/Dunkin-Reviews-E19153.htm
PetSmart,3.3,https://www.glassdoor.com/Reviews/PetSmart-Reviews-E2375.htm
Delta Air Lines,4.3,https://www.glassdoor.com/Reviews/Delta-Air-Lines-Reviews-E197.htm
IQVIA,4.0,https://www.glassdoor.com/Reviews/IQVIA-Reviews-E8347.htm
