url,ceo_approval,friend_recommendation
https://www.glassdoor.com/Reviews/Tech-Mahindra-Reviews-E135932.htm,78,66
https://www.glassdoor.com/Reviews/Hewlett-Packard-Enterprise-HPE-Reviews-E1093046.htm,94,87
https://www.glassdoor.com/Reviews/DXC-Technology-Reviews-E1603125.htm,79,68
https://www.glassdoor.com/Reviews/General-Motors-GM-Reviews-E279.htm,82,77
https://www.glassdoor.com/Reviews/Sears-Reviews-E37984.htm,46,48
https://www.glassdoor.com/Reviews/Domino-s-Reviews-E2770.htm,68,57
https://www.glassdoor.com/Reviews/CGI-Reviews-E8452.htm,90,79
https://www.glassdoor.com/Reviews/NIKE-Reviews-E1699.htm,86,81
https://www.glassdoor.com/Reviews/Staples-Reviews-E1909.htm,44,48
https://www.glassdoor.com/Reviews/Johnson-and-Johnson-Reviews-E364.htm,89,85
https://www.glassdoor.com/Reviews/Old-Navy-Reviews-E18861.htm,73,58
https://www.glassdoor.com/Reviews/Dollar-General-Reviews-E1342.htm,36,34
https://www.glassdoor.com/Reviews/Siemens-Reviews-E3510.htm,89,82
https://www.glassdoor.com/Reviews/GEICO-Reviews-E270.htm,33,36
https://www.glassdoor.com/Reviews/PNC-Financial-Services-Group-Reviews-E507.htm,75,63
https://www.glassdoor.com/Reviews/Burger-King-Reviews-E7201.htm,65,56
https://www.glassdoor.com/Reviews/Robert-Half-Reviews-E1838.htm,75,69
https://www.glassdoor.com/Reviews/Bloomberg-L-P-Reviews-E3096.htm,87,80
https://www.glassdoor.com/Reviews/Booz-Allen-Hamilton-Reviews-E2735.htm,94,87
https://www.glassdoor.com/Reviews/J-C-Penney-Reviews-E361.htm,63,52
https://www.glassdoor.com/Reviews/McKinsey-and-Company-Reviews-E2893.htm,79,86
https://www.glassdoor.com/Reviews/Liberty-Mutual-Insurance-Reviews-E2874.htm,67,71
https://www.glassdoor.com/Reviews/Tesla-Reviews-E43129.htm,71,62
https://www.glassdoor.com/Reviews/U-S-Bank-Reviews-E8937.htm,77,68
https://www.glassdoor.com/Reviews/HSBC-Reviews-E3482.htm,83,72
https://www.glassdoor.com/Reviews/Cerner-Reviews-E1242.htm,71,63
https://www.glassdoor.com/Reviews/UBS-Reviews-E3419.htm,91,78
https://www.glassdoor.com/Reviews/Barclays-Reviews-E3456.htm,89,79
https://www.glassdoor.com/Reviews/NVIDIA-Reviews-E7633.htm,97,93
https://www.glassdoor.com/Reviews/ALDI-Reviews-E7337.htm,69,58
https://www.glassdoor.com/Reviews/Ulta-Beauty-Reviews-E9466.htm,64,58
https://www.glassdoor.com/Reviews/Insight-Global-Reviews-E152783.htm,87,69
https://www.glassdoor.com/Reviews/TD-Reviews-E3767.htm,84,77
https://www.glassdoor.com/Reviews/Thomson-Reuters-Reviews-E100303.htm,73,68
https://www.glassdoor.com/Reviews/Procter-and-Gamble-Reviews-E544.htm,90,83
https://www.glassdoor.com/Reviews/ABC-Reviews-E130.htm,89,80
https://www.glassdoor.com/Reviews/Ford-Motor-Company-Reviews-E263.htm,79,78
https://www.glassdoor.com/Reviews/Victoria-s-Secret-Reviews-E13903.htm,61,56
https://www.glassdoor.com/Reviews/Sam-s-Club-Reviews-E7811.htm,60,52
https://www.glassdoor.com/Reviews/VMware-Reviews-E12830.htm,80,86
https://www.glassdoor.com/Reviews/H-E-B-Reviews-E2824.htm,92,85
https://www.glassdoor.com/Reviews/Allstate-Reviews-E2341.htm,57,51
https://www.glassdoor.com/Reviews/Kforce-Reviews-E5441.htm,83,77
https://www.glassdoor.com/Reviews/Epic-Reviews-E35163.htm,52,55
https://www.glassdoor.com/Reviews/Allied-Universal-Reviews-E1352584.htm,52,50
https://www.glassdoor.com/Reviews/H-and-M-Reviews-E11918.htm,72,65
https://www.glassdoor.com/Reviews/US-Department-of-Veterans-Affairs-Reviews-E41429.htm,70,68
https://www.glassdoor.com/Reviews/Taco-Bell-Reviews-E10091.htm,65,52
https://www.glassdoor.com/Reviews/Concentrix-Reviews-E31549.htm,90,81
https://www.glassdoor.com/Reviews/Raytheon-Technologies-Reviews-E561.htm,66,72
https://www.glassdoor.com/Reviews/Aramark-Reviews-E2716.htm,70,54
https://www.glassdoor.com/Reviews/Pizza-Hut-Reviews-E10090.htm,59,55
https://www.glassdoor.com/Reviews/Intuit-Reviews-E2293.htm,95,92
https://www.glassdoor.com/Reviews/Freelancer-Reviews-E392261.htm,94,82
https://www.glassdoor.com/Reviews/Northwestern-Mutual-Reviews-E2919.htm,90,71
https://www.glassdoor.com/Reviews/Chase-Reviews-E690765.htm,80,72
https://www.glassdoor.com/Reviews/Labcorp-Reviews-E1679.htm,78,71
https://www.glassdoor.com/Reviews/DICK-S-Sporting-Goods-Reviews-E8666.htm,83,72
https://www.glassdoor.com/Reviews/CBRE-Reviews-E465818.htm,89,78
https://www.glassdoor.com/Reviews/Thermo-Fisher-Scientific-Reviews-E658.htm,85,70
https://www.glassdoor.com/Reviews/Ross-Stores-Reviews-E1843.htm,60,52
https://www.glassdoor.com/Reviews/FedEx-Reviews-E246.htm,69,68
https://www.glassdoor.com/Reviews/American-Airlines-Reviews-E8.htm,59,70
https://www.glassdoor.com/Reviews/Medtronic-Reviews-E436.htm,65,74
https://www.glassdoor.com/Reviews/J-P-Morgan-Reviews-E145.htm,89,82
https://www.glassdoor.com/Reviews/Optum-Reviews-E2409113.htm,77,70
https://www.glassdoor.com/Reviews/Hilton-Reviews-E330.htm,89,78
