,employer_name,rating
256,Barnes & Noble,3.7
257,Visa Inc.,4.1
258,lululemon,4.3
259,Genpact,3.9
260,Merck,4.2
261,RSM,4.0
262,Randstad US,3.7
263,The Cigna Group,3.6
264,Nielsen,3.7
265,Adecco,3.7
266,L'Oréal,4.0
267,Dillard's,3.1
268,eBay,4.1
269,Stryker,4.1
270,Lumen,3.5
271,UST,3.9
272,Manpower,4.2
273,Securitas,3.1
274,Sanofi,4.0
275,Unilever,4.2
276,Yahoo,4.1
277,KFC,3.5
278,H&R Block,3.7
279,BlackRock,4.0
280,Fedex Express,3.6
281,Stanford University,4.2
282,Hollister Co.,3.6
283,Novartis,4.0
284,Bed Bath & Beyond,3.3
285,Conduent,3.1
286,Elevance Health,3.7
287,NYU (New York University),4.3
288,Burlington Stores,3.1
289,Jacobs,4.0
290,Merrill,3.8
291,Aon,4.0
292,Providence,3.5
293,Jimmy John's,3.7
294,WTW,3.9
295,Farmers Insurance Group,3.4
296,AutoZone,3.3
297,Massage Envy,3.2
298,Grant Thornton,3.9
299,Texas Instruments,4.1
300,Samsung Electronics,3.8
301,Nationwide,4.0
302,UCLA,4.1
303,Cracker Barrel,3.3
304,Cintas,3.6
305,Total Quality Logistics,4.1
306,Hertz,3.2
307,Centene,3.8
308,RBC,4.0
309,McKesson,3.8
310,MetLife,3.9
311,Buffalo Wild Wings,3.3
312,Zensar Technologies,3.9
313,Petco,3.0
314,Hyatt,4.0
315,Randstad,3.8
316,3M,3.7
317,Bayer,3.9
318,Columbia University,4.1
319,Bain & Company,4.4
320,Instacart,3.6
321,New York City Department of Education,3.6
322,University of Pennsylvania,4.1
323,UC San Diego,4.1
324,Cleveland Clinic,3.7
325,Texas A&M University,4.3
326,GE HealthCare,4.3
327,UKG,3.8
328,Micron Technology,3.7
329,Southwest Airlines,4.1
330,Asurion,3.3
331,The Ohio State University,4.2
332,UPMC,3.2
333,Kmart,3.4
334,Leidos,3.8
335,University of Texas at Austin,4.3
336,Rocket Companies,3.5
337,Workday,4.2
338,Genentech,4.2
339,Eaton,3.9
340,Prudential,3.9
341,Food Lion,3.3
342,Western Digital,3.7
343,Nestlé,4.1
344,University of Southern California,4.3
345,NCR,3.6
346,Publicis Sapient,3.8
347,Life Time,3.5
348,Tata Consultancy Services (North America),3.8
349,Arizona State University,4.2
350,Applied Materials,4.1
351,Urban Outfitters,3.5
352,EPAM Systems,4.1
353,Roche,4.3
354,AstraZeneca,4.1
355,Marshalls,3.5
356,Disney Parks,3.8
357,Wegmans Food Markets,4.1
358,Meijer,3.2
359,United States Federal Government,4.1
360,Halliburton,3.7
361,SAIC,4.0
362,Express Employment Professionals,3.9
363,Northside Hospital,4.2
364,Chevron,4.2
365,Keller Williams,4.4
366,Brookdale Senior Living,3.4
367,New York Life,3.7
368,Atos-Syntel,3.6
369,Amgen,4.1
370,University of Minnesota,4.2
371,Paycom,3.5
372,Panda Express,3.6
373,Aetna,3.4
374,Baylor Scott & White Health,3.8
375,Chili's Grill and Bar,3.4
376,Discover,3.9
377,Quest Diagnostics,3.4
378,Harvard University,4.3
379,Kraft Heinz Company,3.5
380,Menards,3.5
381,Memorial Sloan Kettering Cancer Center,3.9
382,US Department of Defense,4.0
383,Amazon Web Services,3.8
384,DHL Supply Chain,3.8
385,Banana Republic,3.6
386,Cargill,4.0
387,Northwell Health,3.9
388,Zara,3.4
389,Sonic,3.2
390,Ecolab,3.7
391,Chick-fil-A Restaurants,3.9
392,Penn State,4.1
393,Papa John's,3.4
394,"The TJX Companies, Inc.",3.6
395,Mercer,3.9
396,Paychex,3.7
397,XPO,3.6
398,AMC Entertainment,3.6
399,NetApp,4.0
400,Robert Bosch,4.2
401,Emerson,3.9
402,John Deere,4.2
403,Mastercard,4.3
404,Indeed,4.2
405,Lyft,3.6
406,Advantage Solutions,3.4
407,Texas Roadhouse,3.8
408,Bristol Myers Squibb,3.9
409,DONE by NONE,4.0
410,Citizens,3.7
411,University of Maryland,4.2
412,Northwestern University,4.1
413,General Dynamics Information Technology,4.0
414,Mayo Clinic,3.9
415,S&P Global,4.2
416,Rutgers University,4.0
417,MIT,4.4
418,Hy-Vee,3.4
419,NYU Langone Health,4.1
420,"Toys ""R"" Us",3.7
421,ZS Associates,3.8
422,BNP Paribas,3.8
423,Maxim Healthcare Services,3.6
424,adidas,3.9
425,Broadcom,3.7
426,Cardinal Health,3.6
427,L3Harris,3.7
428,The Johns Hopkins University,4.1
429,LA Fitness,3.0
430,Advance Auto Parts,3.3
431,Edward Jones,3.8
432,Nones,3.9
433,AbbVie,3.9
434,Sprouts Farmers Market,3.2
435,Boston Scientific,4.1
436,ABB,4.0
437,University of Florida,4.2
438,Amdocs,3.9
439,Slalom,4.3
440,Family Dollar Stores,2.9
441,University of Chicago,4.2
442,BD,3.9
443,Mount Sinai Health System,3.6
444,Purdue University,4.3
445,Banner Health,3.3
446,Lidl,3.1
447,bp,4.1
448,Fastenal,3.6
449,Whirlpool Corporation,4.0
450,Parexel,4.0
451,Vector Marketing,4.4
452,Atos,3.7
453,Maximus,3.4
454,Citrix,3.6
455,Uber,3.9
456,Harris Teeter,3.3
457,TaskUs,4.4
458,University of California Berkeley,4.3
459,PPD,3.9
460,AMD,4.1
461,Planet Fitness,3.4
462,BASF,3.8
463,Sysco,3.3
464,The Cheesecake Factory,3.8
465,Informatica,4.1
466,Banfield Pet Hospital,3.0
467,Outback Steakhouse,3.7
468,NortonLifeLock,3.8
469,ADT,3.1
470,Anthropologie,3.9
471,Synopsys,4.1
472,7-Eleven,3.4
473,Eli Lilly and Company,4.0
474,Dairy Queen,3.6
475,Autodesk,4.3
476,Red Lobster,3.5
477,Paramount,3.9
478,Academy Sports + Outdoors,3.4
479,HubSpot,4.2
480,Mattress Firm,3.3
481,Anonymous,3.7
482,Raising Cane's,3.9
483,University of Pittsburgh,3.9
484,BAE Systems USA,3.7
485,Indiana University,4.1
486,Amazon Flex,3.6
487,MathWorks,4.4
488,Apex Systems,3.8
489,The Hartford,3.9
490,Angi,3.5
491,NewYork-Presbyterian Hospital,4.0
492,American Red Cross,3.4
493,UC San Francisco,4.0
494,Scribe America,3.1
495,Fresenius Medical Care - North America,3.5
496,Cox Communications,4.0
497,Fifth Third,3.7
498,Groupon,3.2
499,Experian,4.1
500,Kumon,3.8
501,Intermountain Health,3.6
502,Convergys,3.1
503,Northern Trust,3.9
504,Continental,4.0
505,Collins Aerospace,3.8
506,Cushman & Wakefield,3.7
507,Georgia Tech,4.4
508,Electronic Arts,4.0
509,Grainger,4.1
510,UC Davis,4.2
511,Little Caesars Pizza,3.3
512,Regal,3.4
513,Hexaware Technologies,3.7
